name,latitude,longitude
Urochishche Isakovo,55.71389,35.71722
Kutlovo,55.32389,35.72778
Gory Meshcherskiye,56.20177,35.74012
Zhernovets,52.5137,35.7491
Terekhovo,55.83504,35.75874
Omash,58.76457,35.76921
Krasnaya Gorka,57.79283,35.7797
Novoselki,54.35389,35.78944
Andreykovo,56.33818,35.79941
Volkovo,54.29623,35.81012
Dvoriki,52.266,35.8206
Polekhovka,52.0812,35.832
Lyamtsino,58.48845,35.8417
Chechera,53.5575,35.85028
Slugovishchevo,55.31806,35.86028
Zalomnyy,51.53583,35.87056
Stanovishche,55.8752,35.88315
Tver Railway Station,56.83552,35.89193
Osheykino,56.25751,35.90066
Khlystovo,58.57211,35.91095
Peny,51.06861,35.91833
Imeni Krupskoy,56.81255,35.92835
Otrada,52.68075,35.93609
Pominovo,56.49031,35.94763
Dubino,50.6022,35.9576
Kliny,54.92583,35.96707
Gnezdilovo,51.8069,35.9778
Kharina Gora,59.95138,35.98633
Vysokovo,57.32112,35.99846
Murashki,52.71288,36.00848
Aleksandrovka,50.8817,36.01763
Vengerovka,50.93558,36.02761
Krasnopol’ye,53.71719,36.03522
Beklemishevo,56.8749,36.0468
Pyatovskiy,54.68908,36.05634
Nikol’skoye,55.25,36.06667
Shiryayevo,55.97655,36.0741
Novaya Poselënovka,51.63333,36.08333
Urochishche Dubravka,52.01778,36.0925
Il’ino,53.90218,36.10023
Aleksandrovo,55.51667,36.11139
Pridanikha,58.52553,36.12056
Staroye,55.7118,36.13229
Ol’khovatka,52.25175,36.13902
Bol’shoy Zhukovets,57.6438,36.148
Timoshkino,59.3815,36.1574
Boriskovo,58.4478,36.1668
Lesnaya,52.93688,36.1765
Fedinskoye,53.73578,36.1851
Alisovka,51.09674,36.19602
Krasnaya Sloboda,55.35556,36.20667
Mitrofanovka,52.75,36.21667
Boloto Kosinskoye,58.9903,36.2248
Terepech,54.5,36.23333
Rzhavets,52.33797,36.24474
Urochishche Luntikha,57.6769,36.2539
Kurzha,59.851,36.2643
Bol’shiye Sushki,54.37383,36.27377
Vtoroy Ivanovskiy,52.62306,36.28389
Burakovo,55.00391,36.29373
Aleksino,58.59007,36.30094
Urochishche Subbotikha,57.7201,36.3106
Pakhomovo,59.92799,36.31945
Bol’shiye Kozly,54.41447,36.33237
Novaya Cherepet’,54.10045,36.34027
Ozero Palozero,60.98911,36.35032
Aleksandrovka Vtoraya,52.43,36.36
Vidogoshchi,56.7052,36.3689
Vasil’yevskoye Soymonovo,56.1128,36.3778
Varvarikha,55.88919,36.38721
Prilepy,52.29988,36.39684
Mikhaylovka,54.65104,36.40632
Tarbaikha,57.7718,36.4156
Karizha,55.02361,36.425
Kolkhoz Imeni Kaganovicha,55.6,36.43333
